mode,winner,started_at
single_player,You,2025-11-18T12:45:46.554182

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,6,2,0,0,0,0,0,0,0
2,white,5,6,3,0,0,0,0,0,0,0
3,black,7,7,5,0,0,0,0,0,0,0
4,white,3,4,6,0,0,0,0,0,0,0
5,black,6,7,7,0,0,0,0,0,0,0
6,white,1,2,8,0,0,0,0,0,0,0
7,black,5,8,10,0,0,0,0,0,0,0
8,white,0,1,11,0,0,0,0,0,0,0
9,black,4,9,15,0,0,0,0,0,0,0
10,white,3,10,16,0,0,0,0,0,0,0
11,black,8,5,17,1,0,0,0,0,0,0
