mode,winner,started_at
single_player,Computer,2025-11-19T10:49:49.985867

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,5,7,10,0,0,0,0,0,0,0
2,white,3,7,11,0,0,0,0,0,0,0
3,black,6,7,12,0,0,0,0,0,0,0
4,white,7,7,14,0,0,0,0,0,0,0
5,black,7,8,16,0,0,0,0,0,0,0
6,white,5,6,18,0,0,0,0,0,0,0
7,black,9,10,19,0,0,0,0,0,0,0
8,white,8,9,20,0,0,0,0,0,0,0
9,black,8,5,22,0,0,0,0,0,0,0
10,white,1,6,24,0,0,0,0,0,0,0
11,black,5,9,26,0,0,0,0,0,0,0
12,white,5,8,28,0,0,0,0,0,0,0
13,black,7,5,28,0,0,0,0,0,0,0
14,white,1,4,30,0,0,0,0,0,0,0
15,black,6,10,31,0,0,0,0,0,0,0
16,white,7,11,32,0,0,0,0,0,0,0
17,black,6,5,34,0,0,0,0,0,0,0
18,white,9,5,35,0,0,0,0,0,0,0
19,black,7,3,38,0,0,0,0,0,0,0
20,white,7,4,40,0,0,0,0,0,0,0
21,black,8,4,42,0,0,0,0,0,0,0
22,white,8,3,42,0,0,0,0,0,0,0
23,black,6,2,44,0,0,0,0,0,0,0
24,white,9,3,46,0,0,0,0,0,0,0
25,black,5,5,48,0,0,0,0,0,0,0
26,white,4,5,50,0,0,0,0,0,0,0
27,black,4,3,61,0,0,0,0,0,0,0
28,white,5,1,62,0,0,0,0,0,0,0
29,black,9,7,66,0,0,0,0,0,0,0
30,white,8,6,66,0,0,0,0,0,0,0
31,black,6,3,68,0,0,0,0,0,0,0
32,white,6,6,70,0,0,0,0,0,0,0
33,black,5,4,70,0,0,0,0,0,0,0
34,white,7,6,72,0,0,0,0,0,0,0
35,black,6,4,76,0,0,1,0,0,0,0
36,white,6,1,78,0,0,0,0,0,0,0
37,black,9,6,80,1,0,0,0,0,0,1
38,white,4,6,81,0,0,0,0,0,0,0
