mode,winner,started_at
single_player,Computer,2025-11-18T13:01:16.850330

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,7,2,0,0,0,0,0,0,0
2,white,6,8,4,0,0,0,0,0,0,0
3,black,4,7,5,0,0,0,0,0,0,0
4,white,5,8,6,0,0,0,0,0,0,0
5,black,3,8,7,0,0,0,0,0,0,0
6,white,4,8,9,0,0,0,0,0,0,0
7,black,2,7,10,0,0,0,0,0,0,0
8,white,7,8,12,0,0,0,0,0,0,0
9,black,8,8,12,0,0,0,0,0,0,0
10,white,6,9,16,0,0,0,0,0,0,0
11,black,1,6,16,0,0,0,0,0,0,0
12,white,4,9,19,0,0,0,0,0,0,0
13,black,1,7,19,0,0,0,0,0,0,0
14,white,3,7,22,0,0,0,0,0,0,0
15,black,1,5,23,0,0,0,0,0,0,0
16,white,5,9,28,0,0,0,0,0,0,0
17,black,1,8,29,0,0,0,0,0,0,0
18,white,1,9,31,1,0,0,0,0,0,1
19,black,1,4,31,0,0,0,0,0,0,0
