mode,winner,started_at
single_player,Computer,2025-11-19T00:19:20.963873

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,6,1,0,0,0,0,0,0,0
2,white,5,6,2,0,0,0,0,0,0,0
3,black,8,7,3,0,0,0,0,0,0,0
4,white,9,8,3,0,0,0,0,0,0,0
5,black,10,9,4,0,0,0,0,0,0,0
6,white,3,4,5,0,0,0,0,0,0,0
7,black,11,10,5,0,0,0,0,0,0,0
8,white,1,6,6,0,0,0,0,0,0,0
9,black,8,10,13,0,0,0,0,0,0,0
10,white,1,4,14,0,0,0,0,0,0,0
11,black,11,7,14,0,0,0,0,0,0,0
12,white,1,2,15,0,0,0,0,0,0,0
13,black,4,5,49,0,0,0,0,0,0,0
14,white,6,5,50,0,0,0,0,0,0,0
15,black,8,8,51,0,0,0,0,0,0,0
16,white,8,6,52,0,0,0,0,0,0,0
17,black,9,6,52,0,0,0,0,0,0,0
18,white,7,8,53,0,0,0,0,0,0,0
19,black,9,7,54,0,0,0,0,0,0,0
20,white,7,7,54,0,0,0,0,0,0,0
21,black,10,7,55,0,0,0,0,0,0,0
22,white,12,7,56,0,0,0,0,0,0,0
23,black,13,7,57,0,0,0,0,0,0,0
24,white,9,5,58,0,0,0,0,0,0,0
25,black,13,8,59,0,0,0,0,0,0,0
26,white,8,5,59,0,0,0,0,0,0,0
27,black,13,10,60,0,0,0,0,0,0,0
28,white,10,5,61,0,0,0,0,0,0,0
29,black,7,5,63,1,0,0,0,0,0,1
30,white,7,4,63,0,0,0,0,0,0,0
31,black,6,7,70,0,0,0,0,0,0,0
32,white,13,9,71,0,0,0,0,0,0,0
33,black,12,5,75,0,0,0,0,0,0,0
34,white,7,9,76,0,0,0,0,0,0,0
35,black,11,6,77,0,0,0,0,0,0,0
36,white,11,8,78,0,0,0,0,0,0,0
37,black,12,12,83,0,0,0,0,0,0,0
38,white,8,9,84,0,0,0,0,0,0,0
39,black,10,11,86,0,0,0,0,0,0,0
40,white,10,10,87,0,0,0,0,0,0,0
41,black,10,8,89,0,0,0,0,0,0,0
42,white,9,9,89,0,0,0,0,0,0,0
43,black,13,4,90,0,0,0,0,0,0,0
44,white,14,3,91,0,0,0,0,0,0,0
45,black,11,5,93,0,0,0,0,0,0,0
46,white,13,6,94,0,0,0,0,0,0,0
47,black,11,4,94,0,0,0,0,0,0,0
48,white,11,3,95,0,0,0,0,0,0,0
49,black,10,6,103,0,0,1,0,0,0,0
50,white,12,4,104,0,0,0,0,0,0,0
51,black,12,6,105,0,0,1,0,0,0,0
52,white,10,4,106,0,0,0,0,0,0,0
