mode,winner,started_at
single_player,You,2025-11-18T22:30:47.213860

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,6,2,0,0,0,0,0,0,0
2,white,6,6,2,0,0,0,0,0,0,0
3,black,7,7,3,0,0,0,0,0,0,0
4,white,4,8,4,0,0,0,0,0,0,0
5,black,9,5,4,0,0,0,0,0,0,0
6,white,2,10,5,0,0,0,0,0,0,0
7,black,8,8,6,0,0,0,0,0,0,0
8,white,0,8,7,0,0,0,0,0,0,0
9,black,9,7,13,0,0,0,0,0,0,0
10,white,0,12,14,0,0,0,0,0,0,0
11,black,0,10,19,0,0,0,0,1,1,0
12,white,1,9,20,0,0,0,0,0,0,0
13,black,11,6,21,0,0,0,0,0,0,0
14,white,1,6,22,0,0,0,0,0,0,0
15,black,1,8,44,0,0,0,0,0,0,0
16,white,1,5,45,0,0,0,0,0,0,0
17,black,9,8,50,0,0,0,0,0,0,0
18,white,1,3,51,0,0,0,0,0,0,0
19,black,9,9,54,0,0,0,0,0,0,0
20,white,9,6,55,0,0,0,0,0,0,0
21,black,9,10,55,0,0,0,0,0,0,0
22,white,9,11,55,0,0,0,0,0,0,0
23,black,10,10,57,0,0,0,0,0,0,0
24,white,11,11,58,0,0,0,0,0,0,0
25,black,8,9,61,0,0,0,0,0,0,0
26,white,0,4,61,0,0,0,0,0,0,0
27,black,10,7,64,0,0,0,0,0,0,0
28,white,7,10,65,0,0,0,0,0,0,0
29,black,12,5,65,1,0,0,0,0,0,0
