mode,winner,started_at
single_player,Computer,2025-11-18T23:20:46.550925

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,6,3,0,0,0,0,0,0,0
2,white,5,6,4,0,0,0,0,0,0,0
3,black,7,7,4,0,0,0,0,0,0,0
4,white,7,5,5,0,0,0,0,0,0,0
5,black,7,8,5,0,0,0,0,0,0,0
6,white,7,9,6,0,0,0,0,0,0,0
7,black,8,8,7,0,0,0,0,0,0,0
8,white,6,6,7,0,0,0,0,0,0,0
9,black,6,9,9,0,0,0,0,0,0,0
10,white,8,7,10,0,0,0,0,0,0,0
11,black,5,7,23,0,0,0,0,0,0,0
12,white,3,5,24,0,0,0,0,0,0,0
13,black,6,7,24,0,0,0,0,0,0,0
14,white,4,7,25,0,0,0,0,0,0,0
15,black,4,8,26,0,0,0,0,0,0,0
16,white,5,8,27,0,0,0,0,0,0,0
17,black,3,8,27,0,0,0,0,0,0,0
18,white,6,8,28,0,0,0,0,0,0,0
19,black,3,9,33,0,0,0,0,0,0,0
20,white,2,10,34,0,0,0,0,0,0,0
21,black,4,9,34,0,0,0,0,0,0,0
22,white,2,7,35,0,0,0,0,0,0,0
23,black,5,10,36,0,0,0,0,0,0,0
24,white,3,7,37,0,0,0,0,0,0,0
25,black,6,11,37,0,0,0,0,0,0,0
26,white,7,12,38,0,0,0,0,0,0,0
27,black,8,11,38,0,0,0,0,0,0,0
28,white,2,9,40,0,0,0,0,0,0,0
29,black,7,11,40,0,0,0,0,0,0,0
30,white,2,8,41,0,0,0,0,0,0,0
31,black,9,11,41,0,0,1,0,0,0,0
32,white,2,6,42,0,0,0,0,0,0,0
