mode,winner,started_at
single_player,You,2025-11-18T12:57:48.188348

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,7,3,0,0,0,0,0,0,0
2,white,6,8,8,0,0,0,0,0,0,0
3,black,5,5,10,0,0,0,0,0,0,0
4,white,5,6,17,0,0,0,0,0,0,0
5,black,3,3,18,0,0,0,0,0,0,0
6,white,4,4,25,0,0,0,0,0,0,0
7,black,2,3,28,0,0,0,0,0,0,0
8,white,7,9,39,0,0,0,0,0,0,0
9,black,1,3,41,0,0,0,0,0,0,0
10,white,4,3,50,0,0,0,0,0,0,0
11,black,2,4,55,0,0,0,0,0,0,0
12,white,4,5,69,0,0,0,0,0,0,0
13,black,1,5,73,0,0,0,0,0,0,0
14,white,4,2,82,0,0,0,0,0,0,0
15,black,4,1,82,0,0,0,0,0,0,0
16,white,4,6,87,1,0,0,0,0,0,0
