mode,winner,started_at
single_player,You,2025-11-18T18:54:20.240797

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,6,2,0,0,0,0,0,0,0
2,white,5,6,3,0,0,0,0,0,0,0
3,black,7,7,6,0,0,0,0,0,0,0
4,white,3,4,6,0,0,0,0,0,0,0
5,black,4,5,9,0,0,0,0,0,0,0
6,white,1,6,10,0,0,0,0,0,0,0
7,black,6,5,14,0,0,0,0,0,0,0
8,white,0,7,15,0,0,0,0,0,0,0
9,black,2,5,16,0,0,0,0,0,0,0
10,white,1,5,17,0,0,0,0,0,0,0
11,black,3,5,19,0,0,0,0,0,0,0
12,white,5,5,20,0,0,0,0,0,0,0
13,black,7,5,25,0,0,0,0,0,0,0
14,white,1,2,26,0,0,0,0,0,0,0
15,black,7,4,29,0,0,0,0,0,0,0
16,white,7,3,30,0,0,0,0,0,0,0
17,black,6,4,32,0,1,0,0,0,0,0
18,white,7,8,33,0,0,0,0,0,0,0
19,black,5,4,43,0,0,0,0,0,0,0
20,white,0,8,44,0,0,0,0,0,0,0
21,black,8,4,52,0,0,0,0,0,0,0
22,white,4,4,53,0,0,0,0,0,0,0
23,black,9,4,56,1,0,0,0,0,0,0
