mode,winner,started_at
single_player,Computer,2025-11-19T15:25:12.062038

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,7,1,0,0,0,0,0,0,0
2,white,5,7,2,0,0,0,0,0,0,0
3,black,7,8,3,0,0,0,0,0,0,0
4,white,7,6,3,0,0,0,0,0,0,0
5,black,8,7,10,0,0,0,0,0,0,0
6,white,6,9,11,0,0,0,0,0,0,0
7,black,10,8,11,0,0,0,0,0,0,0
8,white,3,6,12,0,0,0,0,0,0,0
9,black,9,7,13,0,0,0,0,0,0,0
10,white,10,7,14,0,0,0,0,0,0,0
11,black,6,8,15,0,0,0,0,0,0,0
12,white,8,8,15,0,0,0,0,0,0,0
13,black,6,7,16,0,0,0,0,0,0,0
14,white,5,6,17,0,0,0,0,0,0,0
15,black,10,5,18,0,0,0,0,0,0,0
16,white,5,9,18,0,0,0,0,0,0,0
17,black,9,6,18,0,0,0,0,0,0,0
18,white,11,4,19,0,0,0,0,0,0,0
19,black,10,6,25,0,0,0,0,0,0,0
20,white,5,8,26,0,0,0,0,0,0,0
21,black,11,6,26,0,0,1,0,0,0,0
22,white,5,5,27,0,0,0,0,0,0,0
