mode,winner,started_at
single_player,Computer,2025-11-18T12:52:41.650878

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,5,4,2,0,0,0,0,0,0,0
2,white,3,2,5,0,0,0,0,0,0,0
3,black,4,3,7,0,0,0,0,0,0,0
4,white,2,2,9,0,0,0,0,0,0,0
5,black,4,4,10,0,0,0,0,0,0,0
6,white,1,2,13,0,0,0,0,0,0,0
7,black,5,3,16,0,0,0,0,0,0,0
8,white,1,3,18,0,0,0,0,0,0,0
9,black,5,2,23,0,0,0,0,0,0,0
10,white,1,4,26,0,0,0,0,0,0,0
11,black,3,4,30,0,0,0,0,0,0,0
12,white,1,1,33,0,0,0,0,0,0,0
13,black,1,5,40,1,0,0,0,0,0,1
14,white,0,2,41,0,0,0,0,0,0,0
15,black,4,2,48,1,0,0,0,0,0,1
16,white,1,0,49,0,0,0,0,0,0,0
