mode,winner,started_at
single_player,Computer,2025-11-19T00:54:45.505829

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,6,2,0,0,0,0,0,0,0
2,white,6,6,3,0,0,0,0,0,0,0
3,black,7,7,3,0,0,0,0,0,0,0
4,white,9,5,3,0,0,0,0,0,0,0
5,black,8,8,4,0,0,0,0,0,0,0
6,white,8,7,4,0,0,0,0,0,0,0
7,black,9,8,48,0,0,0,0,0,0,0
8,white,6,8,49,0,0,0,0,0,0,0
9,black,10,8,98,0,0,0,0,0,0,0
10,white,11,8,99,0,0,0,0,0,0,0
11,black,9,10,100,0,0,0,0,0,0,0
12,white,4,6,101,0,0,0,0,0,0,0
13,black,6,7,107,0,0,0,0,0,0,0
14,white,5,7,107,0,0,0,0,0,0,0
15,black,13,11,110,0,0,0,0,0,0,0
16,white,3,5,111,0,0,0,0,0,0,0
17,black,2,4,119,1,0,0,0,0,0,1
18,white,7,9,120,0,0,0,0,0,0,0
