mode,winner,started_at
single_player,Computer,2025-11-19T13:52:06.498328

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,7,12,0,0,0,0,0,0,0
2,white,5,7,13,0,0,0,0,0,0,0
3,black,11,12,15,0,0,0,0,0,0,0
4,white,3,5,15,0,0,0,0,0,0,0
5,black,7,8,17,0,0,0,0,0,0,0
6,white,7,6,17,0,0,0,0,0,0,0
7,black,8,7,18,0,0,0,0,0,0,0
8,white,6,7,19,0,0,0,0,0,0,0
9,black,8,9,20,0,0,0,0,0,0,0
10,white,8,8,20,0,0,0,0,0,0,0
11,black,10,7,23,0,0,0,0,0,0,0
12,white,9,6,24,0,0,0,0,0,0,0
13,black,8,6,30,0,0,0,0,0,0,0
14,white,8,5,31,0,0,0,0,0,0,0
15,black,9,4,32,0,0,0,0,0,0,0
16,white,6,8,33,0,0,0,0,0,0,0
17,black,10,6,37,0,0,0,0,0,0,0
18,white,6,9,38,0,0,0,0,0,0,0
19,black,10,9,38,0,0,0,0,0,0,0
20,white,10,5,39,0,0,0,0,0,0,0
21,black,9,7,47,0,0,0,0,0,0,0
22,white,11,7,48,0,0,0,0,0,0,0
23,black,10,8,58,0,0,0,0,0,0,0
24,white,10,10,59,0,0,0,0,0,0,0
25,black,9,9,60,0,0,0,0,0,0,0
26,white,11,9,61,0,0,0,0,0,0,0
27,black,7,9,68,0,0,0,0,0,0,0
28,white,11,5,69,0,0,0,0,0,0,0
29,black,5,10,77,0,0,0,0,0,0,0
30,white,9,5,78,0,0,0,0,0,0,0
31,black,5,8,103,0,0,1,0,0,0,0
32,white,7,5,103,0,0,0,0,0,0,0
