mode,winner,started_at
single_player,Computer,2025-11-18T20:54:07.376784

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,7,6,0,0,0,0,0,0,0
2,white,6,7,7,0,0,0,0,0,0,0
3,black,7,8,11,0,0,0,0,0,0,0
4,white,4,9,12,0,0,0,0,0,0,0
5,black,5,8,14,0,0,0,0,0,0,0
6,white,2,7,15,0,0,0,0,0,0,0
7,black,6,9,23,0,0,0,0,0,0,0
8,white,1,6,24,0,0,0,0,0,0,0
9,black,3,8,26,0,0,0,0,0,0,0
10,white,1,8,26,0,0,0,0,0,0,0
11,black,9,8,27,0,0,0,0,0,0,0
12,white,1,4,28,0,0,0,0,0,0,0
13,black,8,8,31,0,0,0,0,0,0,0
14,white,6,8,32,0,0,0,0,0,0,0
15,black,9,6,38,0,0,0,0,0,0,0
16,white,5,10,39,0,0,0,0,0,0,0
17,black,1,7,41,0,1,0,0,0,0,0
18,white,10,5,42,0,0,0,0,0,0,0
19,black,8,10,49,0,0,0,0,0,0,0
20,white,1,2,50,0,0,0,0,0,0,0
21,black,12,8,77,0,0,0,0,0,0,0
22,white,0,9,78,0,0,0,0,0,0,0
23,black,4,11,87,0,0,0,0,0,0,0
24,white,0,5,88,0,0,0,0,0,0,0
25,black,10,8,90,0,0,0,0,0,0,0
26,white,11,8,91,0,0,0,0,0,0,0
27,black,1,5,94,0,0,0,0,0,0,0
28,white,0,6,95,0,0,0,0,0,0,0
29,black,8,12,101,0,0,0,0,0,0,0
30,white,0,4,101,0,0,0,0,0,0,0
31,black,8,11,105,0,0,0,0,0,0,0
32,white,8,9,106,0,0,0,0,0,0,0
33,black,9,4,111,0,0,0,0,0,0,0
34,white,0,7,112,0,0,0,0,0,0,0
35,black,0,8,123,1,0,0,0,0,0,1
36,white,0,3,124,0,0,0,0,0,0,0
