mode,winner,started_at
single_player,Computer,2025-11-19T13:04:16.289572

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,7,2,0,0,0,0,0,0,0
2,white,6,7,2,0,0,0,0,0,0,0
3,black,6,8,2,0,0,0,0,0,0,0
4,white,4,5,3,0,0,0,0,0,0,0
5,black,7,8,3,0,0,0,0,0,0,0
6,white,6,9,4,0,0,0,0,0,0,0
7,black,8,5,4,0,0,0,0,0,0,0
8,white,8,8,5,0,0,0,0,0,0,0
9,black,9,6,5,0,0,0,0,0,0,0
10,white,10,5,6,0,0,0,0,0,0,0
11,black,10,6,6,0,0,0,0,0,0,0
12,white,8,6,6,0,0,0,0,0,0,0
13,black,10,8,6,0,0,0,0,0,0,0
14,white,10,7,7,0,0,0,0,0,0,0
15,black,11,8,7,0,0,0,0,0,0,0
16,white,2,7,8,0,0,0,0,0,0,0
17,black,11,5,8,0,0,0,0,0,0,0
18,white,12,4,9,0,0,0,0,0,0,0
19,black,12,6,9,0,0,0,0,0,0,0
20,white,11,6,9,0,0,0,0,0,0,0
21,black,13,7,10,0,0,0,0,0,0,0
22,white,10,4,11,0,0,0,0,0,0,0
23,black,14,6,11,0,0,0,1,0,0,0
24,white,9,8,12,0,0,0,0,0,0,0
25,black,14,7,12,0,0,0,1,0,0,0
26,white,12,7,13,0,0,0,0,0,0,0
27,black,14,8,13,0,0,0,1,0,0,0
28,white,14,5,14,0,0,0,0,0,0,0
29,black,14,9,14,0,0,0,1,0,0,0
30,white,14,10,14,0,0,0,0,0,0,0
31,black,12,9,16,0,0,0,0,0,0,0
32,white,13,8,17,0,0,0,0,0,0,0
33,black,11,10,18,0,0,1,0,0,0,0
34,white,9,4,19,0,0,0,0,0,0,0
