mode,winner,started_at
single_player,Computer,2025-11-18T12:09:24.895253

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,6,1,0,0,0,0,0,0,0
2,white,6,6,2,0,0,0,0,0,0,0
3,black,7,7,3,0,0,0,0,0,0,0
4,white,4,8,4,0,0,0,0,0,0,0
5,black,6,8,4,0,0,0,0,0,0,0
6,white,2,10,5,0,0,0,0,0,0,0
7,black,5,9,5,0,0,0,0,0,0,0
8,white,4,10,6,0,0,0,0,0,0,0
9,black,3,8,7,0,1,0,0,0,0,0
10,white,9,5,8,0,0,0,0,0,0,0
11,black,3,9,8,0,0,0,0,0,0,0
12,white,1,10,9,0,0,0,0,0,0,0
13,black,4,4,10,0,0,0,0,0,0,0
14,white,1,9,11,0,0,0,0,0,0,0
15,black,8,3,11,0,0,0,0,0,0,0
16,white,1,6,12,0,0,0,0,0,0,0
17,black,2,7,12,0,0,0,0,0,0,0
18,white,0,8,13,0,0,0,0,0,0,0
19,black,1,5,13,0,0,0,0,0,0,0
20,white,0,6,14,0,0,0,0,0,0,0
21,black,3,11,15,0,0,0,0,0,0,0
22,white,0,7,16,0,0,0,0,0,0,0
23,black,9,12,16,0,0,0,0,0,0,0
24,white,0,5,17,0,0,0,0,0,0,0
25,black,0,9,18,1,0,0,0,0,0,1
26,white,0,4,18,0,0,0,0,0,0,0
